FIPS,danger,bins_num,bins_labels
36037,301,2,Medium Risk
36039,745,3,High Risk
36041,393,2,Medium Risk
36043,1123,4,Very High Risk
36045,420,3,High Risk
36047,250,2,Medium Risk
36049,481,3,High Risk
36051,310,2,Medium Risk
36053,411,3,High Risk
36055,471,3,High Risk
36057,562,3,High Risk
36059,551,3,High Risk
36061,241,2,Medium Risk
36063,367,2,Medium Risk
36065,1040,3,High Risk
36067,599,3,High Risk
36069,331,2,Medium Risk
36071,598,3,High Risk
36073,233,2,Medium Risk
36075,644,3,High Risk
36077,505,3,High Risk
36079,288,2,Medium Risk
36081,408,3,High Risk
36083,986,3,High Risk
36085,248,2,Medium Risk
36087,344,2,Medium Risk
36089,945,3,High Risk
36091,1143,4,Very High Risk
36093,728,3,High Risk
36095,497,3,High Risk
36097,199,2,Medium Risk
36099,204,2,Medium Risk
36101,490,3,High Risk
36103,1275,4,Very High Risk
36105,443,3,High Risk
36107,381,2,Medium Risk
36109,333,2,Medium Risk
36111,1018,3,High Risk
36113,690,3,High Risk
36115,799,3,High Risk
36117,386,2,Medium Risk
36119,756,3,High Risk
36121,356,2,Medium Risk
36123,205,2,Medium Risk
37001,348,2,Medium Risk
37003,333,2,Medium Risk
37005,259,2,Medium Risk
37007,264,2,Medium Risk
37009,450,3,High Risk
37011,571,3,High Risk
37013,329,2,Medium Risk
37015,186,2,Medium Risk
37017,483,3,High Risk
37019,403,3,High Risk
37021,722,3,High Risk
37023,621,3,High Risk
37025,437,3,High Risk
37027,475,3,High Risk
37029,139,1,Low Risk
37031,286,2,Medium Risk
37033,343,2,Medium Risk
37035,547,3,High Risk
37037,318,2,Medium Risk
37039,226,2,Medium Risk
37041,143,1,Low Risk
37043,119,1,Low Risk
37045,513,3,High Risk
37047,436,3,High Risk
37049,343,2,Medium Risk
37051,404,3,High Risk
37053,216,2,Medium Risk
37055,208,2,Medium Risk
37057,400,2,Medium Risk
37059,326,2,Medium Risk
37061,377,2,Medium Risk
