FIPS,danger,bins_num,bins_labels
48279,481,3,High Risk
48281,262,2,Medium Risk
48283,185,2,Medium Risk
48285,235,2,Medium Risk
48287,190,2,Medium Risk
48289,243,2,Medium Risk
48291,245,2,Medium Risk
48293,324,2,Medium Risk
48295,521,3,High Risk
48297,249,2,Medium Risk
48299,311,2,Medium Risk
48301,76,1,Low Risk
48303,940,3,High Risk
48305,451,3,High Risk
48307,365,2,Medium Risk
48309,634,3,High Risk
48311,129,1,Low Risk
48313,156,2,Medium Risk
48315,197,2,Medium Risk
48317,209,2,Medium Risk
48319,248,2,Medium Risk
48321,134,1,Low Risk
48323,184,2,Medium Risk
48325,315,2,Medium Risk
48327,212,2,Medium Risk
48329,589,3,High Risk
48331,270,2,Medium Risk
48333,227,2,Medium Risk
48335,312,2,Medium Risk
48337,481,3,High Risk
48339,400,2,Medium Risk
48341,620,3,High Risk
48343,205,2,Medium Risk
48345,352,2,Medium Risk
48347,365,2,Medium Risk
48349,417,3,High Risk
48351,181,2,Medium Risk
48353,392,2,Medium Risk
48355,636,3,High Risk
48357,533,3,High Risk
48359,423,3,High Risk
48361,232,2,Medium Risk
48363,498,3,High Risk
48365,280,2,Medium Risk
48367,640,3,High Risk
48369,446,3,High Risk
48371,624,3,High Risk
48373,234,2,Medium Risk
48375,1265,4,Very High Risk
48377,110,1,Low Risk
48379,188,2,Medium Risk
48381,1205,4,Very High Risk
48383,193,2,Medium Risk
48385,250,2,Medium Risk
48387,328,2,Medium Risk
48389,221,2,Medium Risk
48391,194,2,Medium Risk
48393,361,2,Medium Risk
48395,219,2,Medium Risk
48397,201,2,Medium Risk
48399,362,2,Medium Risk
48401,423,3,High Risk
48403,203,2,Medium Risk
48405,180,2,Medium Risk
48407,186,2,Medium Risk
48409,317,2,Medium Risk
48411,221,2,Medium Risk
48413,195,2,Medium Risk
48415,369,2,Medium Risk
48417,270,2,Medium Risk
48419,303,2,Medium Risk
48421,324,2,Medium Risk
48423,699,3,High Risk
48425,196,2,Medium Risk
48427,330,2,Medium Risk
48429,296,2,Medium Risk
48431,200,2,Medium Risk
48433,261,2,Medium Risk
48435,188,2,Medium Risk
48437,452,3,High Risk
48439,1652,4,Very High Risk
48441,709,3,High Risk
48443,163,2,Medium Risk
48445,387,2,Medium Risk
48447,330,2,Medium Risk
48449,239,2,Medium Risk
48451,762,3,High Risk
48453,727,3,High Risk
48455,178,2,Medium Risk
48457,200,2,Medium Risk
48459,333,2,Medium Risk
48461,185,2,Medium Risk
48463,352,2,Medium Risk
48465,463,3,High Risk
48467,323,2,Medium Risk
48469,278,2,Medium Risk
48471,205,2,Medium Risk
48473,119,1,Low Risk
48475,147,1,Low Risk
48477,183,2,Medium Risk
48479,336,2,Medium Risk
48481,250,2,Medium Risk
