FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
42033,4293400.0,0.0,24.0,5493400.0,11.630550997724026,1,2
42035,6089300.0,14.0,33.0,133739300.0,283.15100830995607,3,3
42037,16899800.0,0.0,6.0,17199800.0,36.415180225480334,2,2
42039,137112000.0,5.0,27.0,183462000.0,388.4232255332663,3,4
42041,2273900.0,9.0,10.0,83773900.0,177.36494998147464,3,3
42043,154094400.0,10.0,6.0,244394400.0,517.4284655692585,3,3
42045,68866580.0,45.0,172.0,482466580.0,1021.4716138252262,4,3
42047,834400.0,0.0,15.0,1584400.0,3.3544699094902874,1,2
42049,224108500.0,3.0,68.0,254508500.0,538.8418991160747,3,3
42051,17010250.0,1.0,0.0,26010250.0,55.06854390515006,2,3
42053,1291750.0,1.0,8.0,10691750.0,22.63642618959403,2,1
42055,2205480.0,2.0,0.0,20205480.0,42.77876462181761,2,3
42057,233480.0,0.0,0.0,233480.0,0.4943206478589954,0,2
42059,15757500.0,0.0,0.0,15757500.0,33.36156248345949,2,2
42061,753480.0,1.0,0.0,9753480.0,20.64993383792939,2,2
42063,10194000.0,1.0,6.0,19494000.0,41.27242894193617,2,3
42065,109047000.0,0.0,40.0,111047000.0,235.10718255438522,3,3
42067,1335480.0,4.0,0.0,37335480.0,79.04616524638756,2,3
42069,109454000.0,1.0,8.0,118854000.0,251.63605568199864,3,3
42071,35003900.0,12.0,28.0,144403900.0,305.7299528926057,3,4
42073,6780750.0,0.0,1.0,6830750.0,14.461970041814428,1,2
42075,21873900.0,10.0,162.0,119973900.0,254.0070925739692,3,3
42077,43333170.0,46.0,142.0,464433170.0,983.2915259619964,4,3
42079,312607000.0,6.0,115.0,372357000.0,788.3491240141851,4,4
42081,41043100.0,10.0,2.0,131143100.0,277.654369343143,3,4
42083,72506400.0,1.0,1.0,81556400.0,172.67008945111945,3,2
42085,11159500.0,1.0,260.0,33159500.0,70.20483777060286,2,3
42087,570980.0,3.0,4.0,27770980.0,58.796337267771136,2,1
42089,203037720.0,19.0,129.0,380487720.0,805.5633726777113,4,4
42091,110804340.0,26.0,102.0,349904340.0,740.8126607738316,4,3
42093,792800.0,0.0,0.0,792800.0,1.6785052665008202,0,1
42095,123974690.0,17.0,117.0,282824690.0,598.7925475043667,3,4
42097,1376800.0,0.0,6.0,1676800.0,3.5500979198644997,1,2
42099,671900.0,9.0,0.0,81671900.0,172.91462446408724,3,2
42101,60466990.0,772.0,836.0,7050266990.0,14926.728396760705,5,4
42103,66398000.0,0.0,4.0,66598000.0,141.0003705075954,3,4
42105,1497900.0,1.0,4.0,10697900.0,22.649446885089716,2,3
42107,4993900.0,7.0,1.0,68043900.0,144.06161012015033,3,2
42109,625800.0,1.0,0.0,9625800.0,20.379611496321388,2,1
