FIPS,Winter,Storm,Flood,Fire,Heat,Drought,Hurricane,pct_Winter,pct_Storm,pct_Flood,pct_Fire,pct_Heat,pct_Drought,pct_Hurricane
1001,17,225,28,0,5,36,8,28.333333333333332,114.79591836734696,93.33333333333333,0.0,166.66666666666669,400.0,800.0
1003,5,322,100,0,0,0,20,8.333333333333332,164.28571428571428,333.33333333333337,0.0,0.0,0.0,2000.0
1005,7,120,7,0,8,49,8,11.666666666666666,61.224489795918366,23.333333333333332,0.0,266.66666666666663,544.4444444444445,800.0
1007,18,131,17,0,5,34,7,30.0,66.83673469387756,56.666666666666664,0.0,166.66666666666669,377.77777777777777,700.0
1009,33,312,37,0,4,29,4,55.00000000000001,159.18367346938774,123.33333333333334,0.0,133.33333333333331,322.22222222222223,400.0
1011,11,62,8,0,4,49,8,18.333333333333332,31.63265306122449,26.666666666666668,0.0,133.33333333333331,544.4444444444445,800.0
1013,6,104,14,0,2,2,10,10.0,53.06122448979592,46.666666666666664,0.0,66.66666666666666,22.22222222222222,1000.0
1015,32,286,26,0,11,40,5,53.333333333333336,145.91836734693877,86.66666666666667,0.0,366.66666666666663,444.44444444444446,500.0
1017,21,127,18,0,5,62,6,35.0,64.79591836734694,60.0,0.0,166.66666666666669,688.8888888888889,600.0
1019,32,240,21,0,4,36,5,53.333333333333336,122.44897959183673,70.0,0.0,133.33333333333331,400.0,500.0
1021,19,183,11,0,6,38,7,31.666666666666664,93.36734693877551,36.666666666666664,0.0,200.0,422.22222222222223,700.0
1023,13,168,37,0,2,3,11,21.666666666666668,85.71428571428571,123.33333333333334,0.0,66.66666666666666,33.33333333333333,1100.0
1025,24,272,35,0,3,3,13,40.0,138.77551020408163,116.66666666666667,0.0,100.0,33.33333333333333,1300.0
1027,21,141,19,0,4,53,6,35.0,71.93877551020408,63.33333333333333,0.0,133.33333333333331,588.8888888888889,600.0
1029,28,112,9,0,5,47,6,46.666666666666664,57.14285714285714,30.0,0.0,166.66666666666669,522.2222222222223,600.0
1031,3,226,27,0,0,32,10,5.0,115.3061224489796,90.0,0.0,0.0,355.55555555555554,1000.0
1033,68,506,74,3,53,23,5,113.33333333333333,258.16326530612247,246.66666666666669,300.0,1766.6666666666667,255.55555555555554,500.0
1035,8,95,12,0,2,2,11,13.333333333333334,48.46938775510204,40.0,0.0,66.66666666666666,22.22222222222222,1100.0
1037,17,86,3,0,4,52,7,28.333333333333332,43.87755102040816,10.0,0.0,133.33333333333331,577.7777777777777,700.0
1039,10,223,17,0,2,2,12,16.666666666666664,113.77551020408163,56.666666666666664,0.0,66.66666666666666,22.22222222222222,1200.0
1041,6,100,17,0,2,2,10,10.0,51.02040816326531,56.666666666666664,0.0,66.66666666666666,22.22222222222222,1000.0
1043,72,520,63,0,12,27,6,120.0,265.3061224489796,210.0,0.0,400.0,300.0,600.0
1045,4,285,31,0,2,33,9,6.666666666666667,145.40816326530611,103.33333333333334,0.0,66.66666666666666,366.66666666666663,900.0
1047,13,172,15,0,6,28,8,21.666666666666668,87.75510204081633,50.0,0.0,200.0,311.11111111111114,800.0
1049,92,556,56,2,9,33,5,153.33333333333334,283.67346938775506,186.66666666666666,200.0,300.0,366.66666666666663,500.0
1051,18,296,43,0,5,59,7,30.0,151.0204081632653,143.33333333333334,0.0,166.66666666666669,655.5555555555555,700.0
1053,6,157,34,0,4,2,11,10.0,80.10204081632652,113.33333333333333,0.0,133.33333333333331,22.22222222222222,1100.0
1055,31,327,29,0,5,29,5,51.66666666666667,166.83673469387753,96.66666666666667,0.0,166.66666666666669,322.22222222222223,500.0
1057,23,153,11,0,6,30,4,38.333333333333336,78.06122448979592,36.666666666666664,0.0,200.0,333.33333333333337,400.0
1059,68,300,26,2,21,23,4,113.33333333333333,153.0612244897959,86.66666666666667,200.0,700.0,255.55555555555554,400.0
1061,3,183,40,0,0,29,13,5.0,93.36734693877551,133.33333333333331,0.0,0.0,322.22222222222223,1300.0
1063,17,90,13,0,7,21,7,28.333333333333332,45.91836734693878,43.333333333333336,0.0,233.33333333333334,233.33333333333334,700.0
1065,17,123,18,0,6,28,7,28.333333333333332,62.755102040816325,60.0,0.0,200.0,311.11111111111114,700.0
1067,4,167,9,0,2,35,9,6.666666666666667,85.20408163265306,30.0,0.0,66.66666666666666,388.88888888888886,900.0
1069,3,342,49,0,2,31,9,5.0,174.48979591836735,163.33333333333334,0.0,66.66666666666666,344.44444444444446,900.0
1071,91,361,43,0,11,33,4,151.66666666666666,184.18367346938774,143.33333333333334,0.0,366.66666666666663,366.66666666666663,400.0
1073,48,741,120,0,47,35,8,80.0,378.0612244897959,400.0,0.0,1566.6666666666665,388.88888888888886,800.0
1075,26,288,59,0,6,26,5,43.333333333333336,146.9387755102041,196.66666666666666,0.0,200.0,288.88888888888886,500.0
1077,78,771,136,1,35,25,5,130.0,393.3673469387755,453.3333333333333,100.0,1166.6666666666665,277.77777777777777,500.0
1079,69,354,50,1,21,28,4,114.99999999999999,180.6122448979592,166.66666666666669,100.0,700.0,311.11111111111114,400.0
1081,18,220,20,0,5,61,6,30.0,112.24489795918366,66.66666666666666,0.0,166.66666666666669,677.7777777777777,600.0
1083,73,463,71,0,22,28,4,121.66666666666666,236.22448979591834,236.66666666666666,0.0,733.3333333333333,311.11111111111114,400.0
1085,11,99,16,0,5,41,8,18.333333333333332,50.51020408163265,53.333333333333336,0.0,166.66666666666669,455.55555555555554,800.0
1087,10,93,10,0,5,63,8,16.666666666666664,47.44897959183674,33.33333333333333,0.0,166.66666666666669,700.0,800.0
1089,135,968,177,0,124,36,4,225.0,493.87755102040813,590.0,0.0,4133.333333333334,400.0,400.0
1091,13,124,13,0,7,22,8,21.666666666666668,63.26530612244898,43.333333333333336,0.0,233.33333333333334,244.44444444444446,800.0
1093,27,301,25,0,6,30,5,45.0,153.57142857142858,83.33333333333334,0.0,200.0,333.33333333333337,500.0
