year,FIPS,Winter Weather,Storm,Flood,Fire,Heat,Drought,Tornado,Hurricane
1996,1001,3,6,2,0,1,0,0,0
1996,1003,0,18,2,0,0,0,0,0
1996,1005,2,1,0,0,1,0,0,0
1996,1007,4,5,2,0,1,0,0,0
1996,1009,4,17,0,0,1,0,0,0
1996,1011,3,0,0,0,1,0,0,0
1996,1013,0,2,0,0,0,0,0,0
1996,1015,5,4,0,0,3,0,0,0
1996,1017,4,4,1,0,1,0,0,0
1996,1019,4,2,1,0,1,0,0,0
1996,1021,4,9,1,0,1,0,1,0
1996,1023,0,9,0,0,0,0,0,0
1996,1025,0,10,1,0,0,0,4,0
1996,1027,4,5,0,0,1,0,0,0
1996,1029,4,1,0,0,1,0,1,0
1996,1031,0,6,0,0,0,0,1,0
1996,1033,4,8,0,0,4,0,0,0
1996,1035,0,4,0,0,0,0,0,0
1996,1037,4,1,0,0,1,0,2,0
1996,1039,0,4,0,0,0,0,0,0
1996,1041,0,5,0,0,0,0,1,0
1996,1043,4,17,1,0,1,0,0,0
1996,1045,0,3,0,0,0,0,0,0
1996,1047,3,7,0,0,1,0,2,0
1996,1049,5,12,1,0,1,0,0,0
1996,1051,3,11,1,0,1,0,3,0
1996,1053,0,4,0,0,0,0,0,0
1996,1055,4,8,0,0,1,0,0,0
1996,1057,5,7,0,0,1,0,0,0
1996,1059,5,10,0,0,1,0,0,0
1996,1061,0,1,0,0,0,0,0,0
1996,1063,4,4,0,0,1,0,0,0
1996,1065,4,1,0,0,1,0,0,0
1996,1067,0,2,0,0,0,0,0,0
1996,1069,0,3,0,0,0,0,0,0
1996,1071,5,11,0,0,1,0,1,0
1996,1073,5,26,6,0,3,0,1,0
1996,1075,6,12,0,0,1,0,0,0
1996,1077,4,17,3,0,1,0,0,0
1996,1079,5,12,1,0,1,0,0,0
1996,1081,3,14,0,0,1,0,0,0
1996,1083,5,21,1,0,1,0,0,0
1996,1085,3,2,0,0,1,0,1,0
1996,1087,3,4,0,0,1,0,0,0
1996,1089,7,25,1,0,6,0,0,0
1996,1091,2,2,0,0,1,0,0,0
1996,1093,5,14,0,0,1,0,0,0
1996,1095,5,12,0,0,1,0,1,0
1996,1097,0,19,1,0,0,0,1,0
1996,1099,0,9,1,0,0,0,2,0
1996,1101,7,17,0,0,3,0,5,0
1996,1103,5,14,1,0,1,0,0,0
1996,1105,3,1,0,0,1,0,1,0
1996,1107,5,10,0,0,1,0,1,0
1996,1109,3,2,0,0,1,0,0,0
1996,1111,4,6,0,0,1,0,0,0
1996,1113,3,5,0,0,1,0,0,0
1996,1115,4,8,0,0,1,0,0,0
1996,1117,4,9,1,0,1,0,0,0
1996,1119,4,8,0,0,1,0,0,0
1996,1121,4,6,2,0,1,0,0,0
1996,1123,4,4,0,0,1,0,4,0
1996,1125,7,17,2,0,6,0,0,0
1996,1127,5,9,0,0,1,0,0,0
1996,1129,0,12,0,0,0,0,2,0
1996,1131,0,3,1,0,0,0,0,0
1996,1133,5,16,0,0,1,0,2,0
1996,2013,0,0,0,0,0,0,0,0
1996,2016,0,0,0,0,0,0,0,0
1996,2020,0,0,0,0,0,0,0,0
1996,2050,0,0,0,0,0,0,0,0
1996,2060,0,0,0,0,0,0,0,0
1996,2068,0,0,0,0,0,0,0,0
1996,2070,0,0,0,0,0,0,0,0
1996,2090,0,0,0,0,0,0,0,0
1996,2100,1,26,1,0,11,2,0,0
1996,2110,1,26,1,0,11,2,0,0
1996,2122,0,0,0,0,0,0,0,0
1996,2130,0,0,0,0,0,0,0,0
1996,2150,0,0,0,0,0,0,0,0
1996,2164,0,0,0,0,0,0,0,0
1996,2170,0,0,0,0,0,0,0,0
1996,2180,0,0,0,0,0,0,0,0
1996,2185,0,0,0,0,0,0,0,0
1996,2188,0,0,0,0,0,0,0,0
1996,2201,0,0,0,0,0,0,0,0
1996,2220,7,146,0,0,14,0,0,0
1996,2232,0,0,0,0,0,0,0,0
1996,2240,0,0,0,0,0,0,0,0
1996,2261,0,0,0,0,0,0,0,0
1996,2270,0,0,0,0,0,0,0,0
1996,2280,0,0,0,0,0,0,0,0
1996,2282,0,0,0,0,0,0,0,0
1996,2290,0,0,0,0,0,0,0,0
1996,4001,4,14,1,1,0,0,0,0
1996,4003,0,7,9,0,0,0,0,0
1996,4005,12,12,5,5,0,0,0,0
1996,4007,1,4,2,1,0,0,1,0
1996,4009,0,1,0,0,0,0,0,0
1996,4011,0,1,0,0,0,0,0,0
1996,4012,0,3,2,0,0,0,0,0
1996,4013,0,80,6,0,0,0,0,0
1996,4015,0,9,3,0,0,0,4,0
1996,4017,6,7,1,1,0,0,2,0
1996,4019,0,32,20,0,0,0,1,0
1996,4021,0,11,2,0,0,0,0,0
1996,4023,0,8,0,0,0,0,0,0
1996,4025,0,19,4,1,0,0,1,0
1996,4027,0,8,1,0,0,0,0,0
1996,5001,0,12,0,0,0,0,0,0
1996,5003,1,5,0,0,0,0,0,0
1996,5005,1,19,0,0,0,0,1,0
1996,5007,3,22,5,0,0,0,0,0
1996,5009,1,21,0,0,0,0,0,0
1996,5011,0,13,0,0,0,0,0,0
1996,5013,0,11,0,0,0,0,1,0
1996,5015,3,6,2,0,0,0,0,0
1996,5017,1,7,1,0,0,0,0,0
1996,5019,0,16,1,0,0,0,1,0
1996,5021,0,5,0,0,0,0,0,0
1996,5023,1,20,0,0,0,0,0,0
1996,5025,0,11,0,0,0,0,0,0
1996,5027,0,13,0,0,0,0,0,0
1996,5029,0,28,0,0,0,0,0,0
1996,5031,0,8,0,0,0,0,0,0
