FIPS,damage,deaths,injuries
1001,26788100.0,7.0,96.0
1003,54686000.0,29.0,57.0
1005,2594000.0,0.0,17.0
1007,16973750.0,1.0,20.0
1009,33177500.0,1.0,59.0
1011,5939000.0,2.0,0.0
1013,5315500.0,2.0,7.0
1015,131719500.0,11.0,81.0
1017,8849000.0,4.0,6.0
1019,23633000.0,3.0,41.0
1021,4145000.0,12.0,6.0
1023,20430750.0,2.0,4.0
1025,7482500.0,4.0,17.0
1027,2806000.0,1.0,5.0
1029,4431100.0,0.0,1.0
1031,373185250.0,17.0,59.0
1033,17061150.0,6.0,45.0
1035,5201500.0,1.0,3.0
1037,1748100.0,0.0,8.0
1039,34407500.0,5.0,3.0
1041,5874000.0,0.0,0.0
1043,37100600.0,5.0,37.0
1045,266176750.0,4.0,40.0
1047,32366000.0,4.0,68.0
1049,23262200.0,32.0,67.0
1051,65393900.0,16.0,68.0
1053,11303500.0,5.0,5.0
1055,25560500.0,1.0,88.0
1057,17027000.0,5.0,31.0
1059,54256700.0,29.0,4.0
1061,44734720.0,1.0,16.0
1063,23199300.0,4.0,6.0
1065,30709500.0,8.0,86.0
1067,34671430.0,1.0,31.0
1069,189400260.0,6.0,22.0
1071,9802900.0,13.0,27.0
1073,1984904100.0,68.0,1172.0
1075,9417000.0,3.0,21.0
1077,11417300.0,10.0,49.0
1079,47926800.0,23.0,30.0
1081,14864500.0,5.0,139.0
1083,1013028000.0,10.0,142.0
1085,9067000.0,4.0,21.0
1087,2813500.0,0.0,5.0
1089,24999400.0,19.0,217.0
1091,53616500.0,3.0,15.0
1093,189216750.0,28.0,224.0
1095,24002000.0,16.0,111.0
1097,49063500.0,8.0,41.0
1099,4680000.0,1.0,6.0
1101,32500500.0,18.0,164.0
1103,15119100.0,7.0,15.0
1105,12801000.0,2.0,0.0
1107,14659000.0,2.0,52.0
1109,7675750.0,4.0,44.0
1111,5395000.0,0.0,1.0
1113,2959250.0,2.0,9.0
1115,208779500.0,18.0,56.0
1117,19294750.0,1.0,41.0
1119,31258000.0,2.0,10.0
1121,10927000.0,5.0,23.0
1123,119709800.0,2.0,67.0
1125,1562836000.0,74.0,1103.0
1127,145010500.0,21.0,184.0
1129,13653500.0,3.0,11.0
1131,2639500.0,1.0,2.0
1133,19814000.0,1.0,71.0
2013,434600.0,0.0,1.0
2016,26154000.0,0.0,0.0
2020,34318233.333333336,18.333333333333332,46.33333333333333
2050,6591583.333333333,7.5,2.0
2060,427333.3333333333,0.0,0.0
2068,5223183.333333333,2.5,6.0
2070,427333.3333333333,0.0,0.0
2090,8722433.333333334,4.0,6.0
2100,704000.0,0.0,11.0
2110,3811000.0,0.0,15.0
2122,32917716.666666664,5.5,12.0
2130,2602000.0,0.0,0.0
2150,3426733.3333333335,0.6666666666666666,0.6666666666666666
2164,3831333.3333333335,0.6666666666666666,1.6666666666666665
2170,7172083.333333333,12.833333333333334,10.333333333333332
2180,89425386.66666667,6.0,7.0
2185,31951466.666666668,4.0,5.0
2188,1327300.0000000002,5.0,3.0
2201,0.0,0.0,0.0
2220,14782800.0,10.0,0.0
2232,0.0,0.0,0.0
2240,2336833.3333333335,4.333333333333333,1.3333333333333333
2261,8243066.666666666,9.666666666666666,4.666666666666666
2270,0.0,0.0,0.0
2280,0.0,0.0,0.0
2282,4630000.0,6.0,4.0
2290,15250999.999999998,5.0,7.0
4001,58540833.333333336,10.333333333333332,17.333333333333336
4003,28215916.666666664,18.0,56.5
4005,109544633.33333333,61.33333333333333,548.3333333333334
4007,7833000.0,13.0,20.0
4009,9658583.333333334,0.0,0.5
4011,765500.0,0.0,0.0
4012,13438000.0,2.0,0.0
4013,3268770000.0,13.0,84.0
4015,32715100.0,27.0,193.0
4017,108922333.33333334,22.333333333333332,20.333333333333336
4019,200343133.33333334,40.0,269.5
4021,22824433.333333332,20.0,160.0
4023,30285383.333333332,5.0,14.5
4025,40548500.0,58.0,32.0
4027,15006500.0,0.0,9.0
5001,89897000.0,1.0,12.0
5003,26792300.0,3.0,12.0
5005,136710000.0,6.0,51.0
5007,95521800.0,16.0,40.0
5009,113509000.0,4.0,29.0
5011,10249000.0,5.0,7.0
5013,11698000.0,0.0,0.0
5015,37475600.0,5.0,0.0
5017,27936300.0,1.0,4.0
5019,139870350.0,10.0,109.0
5021,31465570.0,5.0,4.0
5023,103537000.0,4.0,35.0
5025,10469000.0,0.0,1.0
5027,215012000.0,1.0,7.0
5029,62696000.0,7.0,31.0
5031,18305990.0,12.0,13.0
5033,159710200.0,1.0,64.0
5035,14392680.0,4.0,18.0
5037,12808170.0,2.0,24.0
5039,14000000.0,2.0,4.0
5041,54869000.0,0.0,28.0
5043,10344000.0,0.0,8.0
5045,313691500.0,26.0,229.0
5047,12221500.0,3.0,22.0
5049,115985100.0,2.0,6.0
5051,79840350.0,9.0,48.0
5053,16097000.0,3.0,9.0
5055,47816860.0,2.0,58.0
5057,85747000.0,0.0,9.0
5059,25168000.0,2.0,37.0
5061,88783500.0,2.0,15.0
5063,143337000.0,1.0,9.0
5065,144209000.0,9.0,55.0
5067,124789000.0,7.0,72.0
5069,25119500.0,9.0,21.0
5071,78690300.0,6.0,19.0
5073,83860000.0,1.0,6.0
5075,26583610.0,5.0,35.0
5077,1061780.0,1.0,1.0
5079,8822000.0,0.0,3.0
5081,83910000.0,3.0,5.0
5083,52271200.0,1.0,4.0
5085,63169200.0,11.0,24.0
5087,37118300.0,9.0,8.0
5089,131974000.0,5.0,14.0
5091,174130100.0,3.0,18.0
5093,6601820.0,22.0,18.0
5095,46246000.0,0.0,3.0
5097,23657250.0,20.0,32.0
5099,83996600.0,3.0,4.0
5101,15660900.0,2.0,8.0
5103,16334100.0,1.0,0.0
5105,38567000.0,1.0,0.0
5107,4511650.0,2.0,5.0
5109,8838500.0,0.0,1.0
5111,10425800.0,11.0,2.0
5113,155108500.0,3.0,39.0
5115,85910150.0,10.0,19.0
5117,47533100.0,3.0,11.0
5119,560152300.0,49.0,336.0
5121,36685630.0,3.0,7.0
5123,9806370.0,7.0,18.0
5125,115860500.0,14.0,86.0
5127,42814000.0,9.0,1.0
5129,113970700.0,0.0,0.0
5131,177555300.0,6.0,51.0
5133,417513100.0,4.0,12.0
5135,169886000.0,5.0,25.0
5137,150053100.0,7.0,14.0
5139,90085500.0,2.0,23.0
5141,106160000.0,7.0,112.0
5143,165533100.0,20.0,1566.0
5145,73254450.0,12.0,88.0
5147,37376600.0,0.0,4.0
5149,39218700.0,3.0,6.0
6001,42960843.33333334,6.5,24.666666666666664
6003,253173411.11111113,10.611111111111112,22.055555555555554
6005,8895368.253968254,16.368253968253967,45.612698412698414
6007,11899220266.666668,63.06666666666667,72.06666666666666
6009,11015235.396825396,11.225396825396825,27.8984126984127
6011,49275133.333333336,7.066666666666666,30.000000000000004
6013,62283833.333333336,6.5,20.666666666666664
6015,24013800.0,1.0,0.0
6017,286980268.2539681,18.468253968253972,40.91269841269841
6019,22186500.0,1.0,26.0
6021,25448133.333333332,4.066666666666666,14.0
6023,40781100.0,7.0,21.0
6025,6724000.0,0.0,5.0
6027,79860000.0,24.0,43.0
6029,61844700.0,2.0,10.0
6031,1665690.0,0.0,0.0
6033,47721800.0,5.4,20.0
6035,7277333.333333335,0.4,3.066666666666667
6037,259910000.0,82.0,211.0
6039,8598500.0,0.0,4.0
6041,245920899.99999997,22.666666666666668,18.666666666666668
6043,17718800.0,6.0,6.0
6045,111734000.0,16.0,4.0
6047,24128500.0,0.0,7.0
6049,666596400.0,2.0,0.0
6051,12074400.0,12.0,23.0
6053,121035560.0,19.0,21.0
6055,135798300.0,5.666666666666667,2.6666666666666665
6057,262247458.73015875,15.992063492063494,28.1984126984127
6059,200859266.6666667,24.333333333333332,74.66666666666667
6061,266212268.2539683,19.46825396825397,40.91269841269841
6063,28291433.333333336,1.4,1.0666666666666667
6065,281542666.6666666,52.33333333333333,420.6666666666667
6067,18934839.523809522,7.476190476190476,27.380952380952383
6069,96000.0,1.0,0.0
6071,1916667700.0,118.0,778.0
6073,2957749066.6666665,195.33333333333334,1996.6666666666665
6075,57714060.0,16.0,68.0
6077,9990066.666666668,7.733333333333333,25.86666666666667
6079,13290000.0,9.0,14.0
6081,35730020.0,14.166666666666666,43.0
6083,80682000.0,52.0,370.0
6085,31405843.333333332,14.166666666666666,19.666666666666664
6087,119647010.00000001,34.666666666666664,39.0
6089,12925726733.333334,77.8,141.0666666666667
6091,11558844.444444446,3.1111111111111116,14.222222222222221
6093,184400000.0,8.0,23.0
6095,23952809.523809522,7.476190476190475,28.380952380952383
6097,240404699.99999997,25.66666666666667,25.666666666666668
6099,4918010.0,7.4,14.2
6101,8603476.190476192,7.809523809523809,21.71428571428572
6103,13435298733.333334,70.8,119.06666666666669
6105,9550000.0,0.0,0.0
6107,98714030.0,4.0,10.0
6109,55806225.396825396,13.225396825396825,27.8984126984127
6111,25700000.0,29.0,81.0
6113,5897142.857142857,5.142857142857142,23.714285714285715
6115,28119158.730158735,10.492063492063492,25.6984126984127
8001,449798400.0,10.600000000000001,37.4
8003,4988857.142857143,1.0,3.0
8005,1089889066.6666667,9.266666666666667,66.39999999999999
