id,time,location,latitude,longitude,depth,magnitude,url
usp0009nkn,2000-02-18 00:19:28.870,"Hawaii region, Hawaii",19.317,-155.27,32.5,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009nkn
usp0009qp5,2000-04-02 06:18:19.740,"Hawaii region, Hawaii",19.339,-155.206,4.5,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009qp5
usp0009tn7,2000-05-30 02:11:02.740,"Hawaii region, Hawaii",19.324,-155.224,4.5,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009tn7
usp000a1rh,2000-10-14 07:53:42.270,"Hawaii region, Hawaii",20.298,-155.435,38.9,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1rh
usp000adz3,2001-04-26 03:37:39.360,"Hawaii region, Hawaii",19.416,-155.301,5.2,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000adz3
usp000adz6,2001-04-26 04:19:24.800,"Hawaii region, Hawaii",19.417,-155.3,5.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000adz6
usp000bn6b,2003-01-07 02:37:42.550,"Hawaii region, Hawaii",19.92,-156.351,4.1,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000bn6b
usp000bp5s,2003-01-25 16:46:25.000,"Hawaii region, Hawaii",19.372,-155.327,29.3,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000bp5s
usp000c61h,2003-08-27 06:24:22.180,"Hawaii region, Hawaii",19.326,-155.207,9.9,4.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000c61h
usp000ckf3,2004-02-05 10:19:29.300,"Hawaii region, Hawaii",19.374,-155.004,35.3,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ckf3
usp000d67e,2004-10-11 20:29:50.000,"Hawaii region, Hawaii",19.346,-155.276,31.8,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000d67e
usp000d69k,2004-10-12 23:17:58.000,"Hawaii region, Hawaii",19.339,-155.118,9.4,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000d69k
usp000db7j,2004-12-22 17:07:38.770,"Hawaii region, Hawaii",19.39,-155.245,4.2,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000db7j
usp000dhtr,2005-03-08 17:26:16.730,"Hawaii region, Hawaii",19.015,-155.357,18.9,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000dhtr
usp000dr7s,2005-05-20 15:52:07.830,"Oahu region, Hawaii",21.671,-157.607,9.9,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000dr7s
usp000dv8z,2005-07-15 15:48:54.450,"Hawaii region, Hawaii",20.441,-155.133,17.9,5.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp000dv8z
usp000dvyx,2005-07-26 08:08:35.420,"Hawaii region, Hawaii",19.348,-155.327,31.5,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000dvyx
usp000e1gm,2005-10-10 09:44:59.260,"Hawaii region, Hawaii",19.498,-155.469,6.8,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000e1gm
usp000e57q,2005-11-30 08:26:22.000,"Hawaii region, Hawaii",19.33,-155.11,9.9,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp000e57q
usp000e5q2,2005-12-07 09:02:06.000,"Hawaii region, Hawaii",18.921,-155.264,13.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000e5q2
usp000e5qb,2005-12-07 11:42:12.000,"Hawaii region, Hawaii",18.923,-155.175,28.1,4.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000e5qb
usp000e8fg,2006-01-19 02:04:52.000,"Hawaii region, Hawaii",19.053,-155.43,40.0,4.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000e8fg
usp000ea6v,2006-02-17 01:22:33.000,"Hawaii region, Hawaii",19.336,-155.212,10.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ea6v
usp000eb4d,2006-03-01 18:57:13.000,"Hawaii region, Hawaii",19.443,-155.319,5.9,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp000eb4d
usp000epq3,2006-07-27 20:03:33.000,"Maui region, Hawaii",20.34,-156.576,31.3,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000epq3
usp000ev94,2006-10-15 17:07:49.250,"Hawaii region, Hawaii",19.878,-155.935,38.9,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ev94
usp000ev95,2006-10-15 17:14:12.070,"Hawaii region, Hawaii",20.129,-155.983,18.9,6.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ev95
usp000ev9g,2006-10-15 20:35:21.000,"Hawaii region, Hawaii",20.085,-155.965,9.9,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp000ev9g
