County or equivalent,State or district,Rank,Population
Fallon County,Montana,2978,"3,024"
Fergus County,Montana,2331,"11,435"
Flathead County,Montana,630,"91,633"
Gallatin County,Montana,624,"92,614"
Garfield County,Montana,3098,"1,261"
Glacier County,Montana,2198,"13,711"
Golden Valley County,Montana,3116,839
Granite County,Montana,2968,"3,109"
Hill County,Montana,2020,"16,366"
Jefferson County,Montana,2335,"11,401"
Judith Basin County,Montana,3049,"2,024"
Lake County,Montana,1450,"28,986"
Lewis and Clark County,Montana,812,"64,876"
Liberty County,Montana,3015,"2,392"
Lincoln County,Montana,1857,"19,491"
McCone County,Montana,3075,"1,701"
Madison County,Montana,2625,"7,733"
Meagher County,Montana,3064,"1,924"
Mineral County,Montana,2891,"4,167"
Missoula County,Montana,542,"1,10,977"
Musselshell County,Montana,2860,"4,665"
Park County,Montana,2074,"15,567"
Petroleum County,Montana,3137,511
Phillips County,Montana,2892,"4,128"
Pondera County,Montana,2746,"6,165"
Powder River County,Montana,3072,"1,763"
Powell County,Montana,2675,"7,096"
Prairie County,Montana,3103,"1,157"
Ravalli County,Montana,1163,"40,617"
Richland County,Montana,2374,"10,810"
Roosevelt County,Montana,2365,"10,927"
Rosebud County,Montana,2481,"9,396"
Sanders County,Montana,2334,"11,408"
Sheridan County,Montana,2939,"3,580"
Silver Bow County,Montana,1315,"34,403"
Stillwater County,Montana,2503,"9,195"
Sweet Grass County,Montana,2934,"3,605"
Teton County,Montana,2756,"6,053"
Toole County,Montana,2825,"5,220"
Treasure County,Montana,3125,736
Valley County,Montana,2642,"7,505"
Wheatland County,Montana,3042,"2,104"
Wibaux County,Montana,3107,"1,057"
Yellowstone County,Montana,414,"1,51,882"
Adams County,Nebraska,1402,"31,459"
Antelope County,Nebraska,2719,"6,545"
Arthur County,Nebraska,3139,486
Banner County,Nebraska,3123,760
Blaine County,Nebraska,3136,514
Boone County,Nebraska,2812,"5,417"
Box Butte County,Nebraska,2337,"11,317"
Boyd County,Nebraska,3046,"2,054"
Brown County,Nebraska,2979,"3,023"
Buffalo County,Nebraska,1021,"47,463"
Burt County,Nebraska,2712,"6,659"
Butler County,Nebraska,2584,"8,295"
Cass County,Nebraska,1603,"25,133"
Cedar County,Nebraska,2539,"8,746"
Chase County,Nebraska,2901,"4,064"
Cherry County,Nebraska,2791,"5,727"
Cheyenne County,Nebraska,2438,"10,068"
Clay County,Nebraska,2732,"6,411"
Colfax County,Nebraska,2384,"10,653"
Cuming County,Nebraska,2512,"9,072"
Custer County,Nebraska,2378,"10,740"
Dakota County,Nebraska,1783,"20,918"
Dawes County,Nebraska,2506,"9,152"
Dawson County,Nebraska,1634,"24,220"
Deuel County,Nebraska,3056,"1,972"
Dixon County,Nebraska,2768,"5,918"
Dodge County,Nebraska,1263,"36,427"
Douglas County,Nebraska,122,"5,31,265"
Dundy County,Nebraska,3050,"2,021"
Fillmore County,Nebraska,2783,"5,771"
Franklin County,Nebraska,2962,"3,188"
Frontier County,Nebraska,2995,"2,741"
Furnas County,Nebraska,2844,"4,907"
Gage County,Nebraska,1739,"21,806"
Garden County,Nebraska,3059,"1,953"
Garfield County,Nebraska,3052,"2,007"
Gosper County,Nebraska,3048,"2,029"
Grant County,Nebraska,3133,629
Greeley County,Nebraska,3009,"2,458"
Hall County,Nebraska,859,"60,345"
Hamilton County,Nebraska,2521,"9,011"
Harlan County,Nebraska,2946,"3,410"
Hayes County,Nebraska,3111,953
Hitchcock County,Nebraska,2986,"2,887"
Holt County,Nebraska,2405,"10,396"
Hooker County,Nebraska,3126,727
Howard County,Nebraska,2738,"6,336"
Jefferson County,Nebraska,2640,"7,521"
Johnson County,Nebraska,2830,"5,140"
Kearney County,Nebraska,2726,"6,485"
Keith County,Nebraska,2591,"8,220"
Keya Paha County,Nebraska,3120,804
Kimball County,Nebraska,2923,"3,783"
Knox County,Nebraska,2560,"8,573"
Lancaster County,Nebraska,224,"2,93,407"
Lincoln County,Nebraska,1273,"36,099"
Logan County,Nebraska,3122,765
Loup County,Nebraska,3135,589
McPherson County,Nebraska,3138,509
Madison County,Nebraska,1300,"35,031"
Merrick County,Nebraska,2618,"7,780"
Morrill County,Nebraska,2845,"4,889"
Nance County,Nebraska,2930,"3,715"
Nemaha County,Nebraska,2666,"7,154"
Nuckolls County,Nebraska,2872,"4,438"
Otoe County,Nebraska,2060,"15,747"
Pawnee County,Nebraska,2991,"2,765"
Perkins County,Nebraska,2984,"2,931"
Phelps County,Nebraska,2500,"9,215"
Pierce County,Nebraska,2661,"7,166"
Platte County,Nebraska,1364,"32,681"
Polk County,Nebraska,2816,"5,320"
Red Willow County,Nebraska,2360,"10,975"
Richardson County,Nebraska,2585,"8,290"
Rock County,Nebraska,3091,"1,376"
Saline County,Nebraska,2137,"14,557"
Sarpy County,Nebraska,378,"1,65,853"
Saunders County,Nebraska,1788,"20,823"
Scotts Bluff County,Nebraska,1247,"36,964"
Seward County,Nebraska,1986,"16,935"
Sheridan County,Nebraska,2817,"5,319"
Sherman County,Nebraska,2969,"3,108"
Sioux County,Nebraska,3094,"1,315"
Stanton County,Nebraska,2752,"6,089"
Thayer County,Nebraska,2831,"5,134"
Thomas County,Nebraska,3131,676
Thurston County,Nebraska,2682,"7,020"
Valley County,Nebraska,2889,"4,229"
Washington County,Nebraska,1828,"20,252"
Wayne County,Nebraska,2468,"9,554"
Webster County,Nebraska,2929,"3,725"
Wheeler County,Nebraska,3119,805
York County,Nebraska,2193,"13,746"
Churchill County,Nevada,1631,"24,375"
Clark County,Nevada,14,"20,00,759"
Douglas County,Nevada,1026,"46,996"
Elko County,Nevada,966,"51,216"
Esmeralda County,Nevada,3121,775
Eureka County,Nevada,3053,"2,001"
Humboldt County,Nevada,1976,"17,048"
Lander County,Nevada,2766,"5,941"
Lincoln County,Nevada,2813,"5,405"
Lyon County,Nevada,964,"51,327"
Mineral County,Nevada,2862,"4,653"
Nye County,Nevada,1113,"42,963"
Pershing County,Nevada,2703,"6,749"
Storey County,Nevada,2913,"3,935"
Washoe County,Nevada,160,"4,29,908"
White Pine County,Nevada,2440,"10,042"
"Carson City, Consolidated Municipality of",Nevada,914,"54,838"
Belknap County,New Hampshire,860,"60,327"
Carroll County,New Hampshire,1019,"47,567"
Cheshire County,New Hampshire,712,"76,851"
Coos County,New Hampshire,1388,"32,096"
Grafton County,New Hampshire,641,"89,181"
Hillsborough County,New Hampshire,169,"4,02,922"
Merrimack County,New Hampshire,431,"1,46,761"
Rockingham County,New Hampshire,222,"2,97,820"
Strafford County,New Hampshire,494,"1,24,119"
Sullivan County,New Hampshire,1107,"43,074"
Atlantic County,New Jersey,240,"2,75,422"
Bergen County,New Jersey,56,"9,18,888"
Burlington County,New Jersey,148,"4,51,336"
Camden County,New Jersey,127,"5,13,539"
Cape May County,New Jersey,606,"96,304"
Cumberland County,New Jersey,400,"1,57,785"
Essex County,New Jersey,75,"7,87,744"
Gloucester County,New Jersey,226,"2,89,586"
Hudson County,New Jersey,94,"6,52,302"
Hunterdon County,New Jersey,486,"1,27,050"
Mercer County,New Jersey,181,"3,68,303"
Middlesex County,New Jersey,68,"8,23,041"
Monmouth County,New Jersey,100,"6,29,384"
Morris County,New Jersey,134,"4,97,999"
Ocean County,New Jersey,109,"5,80,470"
Passaic County,New Jersey,131,"5,02,885"
Salem County,New Jersey,804,"65,774"
Somerset County,New Jersey,198,"3,27,707"
Sussex County,New Jersey,427,"1,47,442"
Union County,New Jersey,118,"5,43,976"
Warren County,New Jersey,550,"1,07,653"
Bernalillo County,New Mexico,92,"6,73,460"
Catron County,New Mexico,2932,"3,658"
Chaves County,New Mexico,803,"65,784"
Cibola County,New Mexico,1518,"27,334"
Colfax County,New Mexico,2229,"13,223"
Curry County,New Mexico,979,"49,938"
De Baca County,New Mexico,3063,"1,927"
Doña Ana County,New Mexico,295,"2,14,445"
Eddy County,New Mexico,919,"54,419"
Grant County,New Mexico,1436,"29,388"
Guadalupe County,New Mexico,2864,"4,603"
Harding County,New Mexico,3129,707
Hidalgo County,New Mexico,2851,"4,794"
Lea County,New Mexico,792,"66,338"
Lincoln County,New Mexico,1824,"20,309"
Los Alamos County,New Mexico,1912,"18,159"
Luna County,New Mexico,1607,"25,041"
McKinley County,New Mexico,744,"73,016"
Mora County,New Mexico,2858,"4,705"
Otero County,New Mexico,797,"66,041"
Quay County,New Mexico,2536,"8,769"
Rio Arriba County,New Mexico,1170,"40,318"
Roosevelt County,New Mexico,1820,"20,419"
Sandoval County,New Mexico,460,"1,35,588"
San Juan County,New Mexico,481,"1,28,529"
San Miguel County,New Mexico,1454,"28,891"
Santa Fe County,New Mexico,433,"1,46,375"
Sierra County,New Mexico,2304,"11,895"
Socorro County,New Mexico,1942,"17,603"
Taos County,New Mexico,1361,"32,779"
Torrance County,New Mexico,2046,"16,021"
Union County,New Mexico,2873,"4,431"
Valencia County,New Mexico,715,"76,631"
Albany County,New York,212,"3,05,455"
Allegany County,New York,1005,"48,357"
Bronx County,New York,26,"14,08,473"
Broome County,New York,324,"1,98,060"
Cattaraugus County,New York,691,"79,458"
Cayuga County,New York,690,"79,552"
Chautauqua County,New York,469,"1,33,539"
Chemung County,New York,643,"88,911"
Chenango County,New York,980,"49,933"
Clinton County,New York,680,"81,654"
Columbia County,New York,837,"62,499"
Cortland County,New York,992,"49,474"
Delaware County,New York,1023,"47,276"
Dutchess County,New York,223,"2,97,322"
Erie County,New York,54,"9,19,086"
Essex County,New York,1196,"38,961"
Franklin County,New York,959,"51,795"
Fulton County,New York,913,"54,925"
Genesee County,New York,865,"59,977"
Greene County,New York,1003,"48,673"
Hamilton County,New York,2854,"4,778"
Herkimer County,New York,816,"64,508"
Jefferson County,New York,508,"1,20,262"
Kings County,New York,8,"25,65,635"
Lewis County,New York,1522,"27,224"
Livingston County,New York,814,"64,810"
Madison County,New York,747,"72,382"
Monroe County,New York,79,"7,47,813"
Montgomery County,New York,978,"49,941"
Nassau County,New York,28,"13,49,233"
New York County,New York,20,"16,19,090"
Niagara County,New York,292,"2,15,124"
Oneida County,New York,277,"2,33,556"
Onondaga County,New York,143,"4,66,852"
Ontario County,New York,545,"1,08,519"
Orange County,New York,177,"3,74,512"
Orleans County,New York,1117,"42,836"
Oswego County,New York,505,"1,21,700"
Otsego County,New York,842,"61,709"
Putnam County,New York,591,"99,607"
Queens County,New York,10,"22,72,771"
Rensselaer County,New York,394,"1,59,835"
Richmond County,New York,140,"4,70,728"
Rockland County,New York,206,"3,17,757"
St. Lawrence County,New York,535,"1,12,232"
Saratoga County,New York,284,"2,22,133"
Schenectady County,New York,407,"1,55,124"
Schoharie County,New York,1387,"32,099"
Schuyler County,New York,1895,"18,514"
Seneca County,New York,1295,"35,305"
Steuben County,New York,592,"99,063"
Suffolk County,New York,24,"14,99,273"
Sullivan County,New York,714,"76,793"
Tioga County,New York,971,"50,478"
Tompkins County,New York,570,"1,02,554"
Ulster County,New York,347,"1,81,791"
Warren County,New York,807,"65,538"
Washington County,New York,827,"62,934"
Wayne County,New York,620,"92,962"
Westchester County,New York,46,"9,61,670"
Wyoming County,New York,1131,"41,892"
Yates County,New York,1597,"25,344"
Alamance County,North Carolina,410,"1,53,920"
Alexander County,North Carolina,1252,"36,853"
Alleghany County,North Carolina,2365,"10,927"
Anson County,North Carolina,1547,"26,351"
Ashe County,North Carolina,1527,"27,097"
Avery County,North Carolina,1939,"17,635"
Beaufort County,North Carolina,1020,"47,507"
Bertie County,North Carolina,1801,"20,653"
Bladen County,North Carolina,1302,"34,915"
Brunswick County,North Carolina,534,"1,12,257"
Buncombe County,North Carolina,268,"2,44,490"
Burke County,North Carolina,634,"90,505"
Cabarrus County,North Carolina,342,"1,84,498"
Caldwell County,North Carolina,676,"81,930"
Camden County,North Carolina,2436,"10,090"
Carteret County,North Carolina,783,"67,632"
Caswell County,North Carolina,1680,"23,217"
Catawba County,North Carolina,408,"1,54,339"
Chatham County,North Carolina,799,"65,976"
Cherokee County,North Carolina,1530,"26,992"
Chowan County,North Carolina,2124,"14,772"
Clay County,North Carolina,2387,"10,618"
Cleveland County,North Carolina,600,"97,474"
Columbus County,North Carolina,885,"57,638"
Craven County,North Carolina,562,"1,04,770"
Cumberland County,North Carolina,200,"3,24,049"
Currituck County,North Carolina,1640,"24,077"
Dare County,North Carolina,1310,"34,573"
Davidson County,North Carolina,383,"1,63,260"
Davie County,North Carolina,1142,"41,433"
Duplin County,North Carolina,864,"60,033"
Durham County,North Carolina,238,"2,79,641"
Edgecombe County,North Carolina,904,"55,954"
Forsyth County,North Carolina,186,"3,58,137"
Franklin County,North Carolina,845,"61,475"
Gaston County,North Carolina,303,"2,08,049"
Gates County,North Carolina,2306,"11,869"
Graham County,North Carolina,2548,"8,700"
Granville County,North Carolina,857,"60,436"
Greene County,North Carolina,1759,"21,429"
Guilford County,North Carolina,132,"5,00,879"
Halifax County,North Carolina,925,"54,006"
Harnett County,North Carolina,502,"1,22,135"
Haywood County,North Carolina,877,"58,908"
Henderson County,North Carolina,547,"1,08,266"
Hertford County,North Carolina,1628,"24,438"
Hoke County,North Carolina,970,"50,536"
Hyde County,North Carolina,2776,"5,859"
Iredell County,North Carolina,385,"1,62,708"
Jackson County,North Carolina,1167,"40,448"
Johnston County,North Carolina,358,"1,74,938"
Jones County,North Carolina,2420,"10,275"
Lee County,North Carolina,867,"59,715"
Lenoir County,North Carolina,873,"59,227"
Lincoln County,North Carolina,692,"79,313"
McDowell County,North Carolina,1068,"44,998"
Macon County,North Carolina,1329,"33,869"
Madison County,North Carolina,1793,"20,742"
Martin County,North Carolina,1645,"23,961"
Mecklenburg County,North Carolina,45,"9,69,031"
Mitchell County,North Carolina,2084,"15,368"
Montgomery County,North Carolina,1505,"27,668"
Moore County,North Carolina,635,"90,302"
Nash County,North Carolina,608,"95,708"
New Hanover County,North Carolina,299,"2,09,234"
Northampton County,North Carolina,1760,"21,428"
Onslow County,North Carolina,344,"1,83,263"
Orange County,North Carolina,453,"1,37,941"
Pamlico County,North Carolina,2236,"13,074"
Pasquotank County,North Carolina,1165,"40,591"
Pender County,North Carolina,922,"54,195"
Perquimans County,North Carolina,2211,"13,563"
Person County,North Carolina,1192,"39,268"
Pitt County,North Carolina,361,"1,72,554"
Polk County,North Carolina,1827,"20,271"
Randolph County,North Carolina,442,"1,42,466"
Richmond County,North Carolina,1037,"46,627"
Robeson County,North Carolina,461,"1,35,496"
Rockingham County,North Carolina,623,"92,720"
Rowan County,North Carolina,451,"1,38,180"
Rutherford County,North Carolina,786,"67,323"
Sampson County,North Carolina,821,"63,949"
Scotland County,North Carolina,1274,"36,094"
Stanly County,North Carolina,853,"60,576"
Stokes County,North Carolina,1031,"46,783"
Surry County,North Carolina,740,"73,561"
Swain County,North Carolina,2166,"14,141"
Transylvania County,North Carolina,1360,"32,849"
Tyrrell County,North Carolina,2881,"4,338"
Union County,North Carolina,302,"2,08,520"
Vance County,North Carolina,1065,"45,132"
Wake County,North Carolina,48,"9,52,151"
Warren County,North Carolina,1807,"20,576"
Washington County,North Carolina,2258,"12,736"
Watauga County,North Carolina,958,"51,871"
Wayne County,North Carolina,492,"1,24,246"
Wilkes County,North Carolina,767,"69,306"
Wilson County,North Carolina,677,"81,867"
Yadkin County,North Carolina,1218,"38,084"
Yancey County,North Carolina,1940,"17,630"
Adams County,North Dakota,3027,"2,311"
Barnes County,North Dakota,2356,"11,015"
Benson County,North Dakota,2702,"6,760"
Billings County,North Dakota,3113,905
Bottineau County,North Dakota,2717,"6,579"
Bowman County,North Dakota,2960,"3,202"
Burke County,North Dakota,3040,"2,171"
Burleigh County,North Dakota,659,"85,774"
Cass County,North Dakota,403,"1,56,157"
Cavalier County,North Dakota,2912,"3,948"
Dickey County,North Dakota,2822,"5,268"
Divide County,North Dakota,3034,"2,228"
Dunn County,North Dakota,2910,"3,967"
Eddy County,North Dakota,3019,"2,368"
Emmons County,North Dakota,2941,"3,491"
Foster County,North Dakota,2947,"3,392"
Golden Valley County,North Dakota,3070,"1,804"
Grand Forks County,North Dakota,784,"67,472"
Grant County,North Dakota,3022,"2,333"
Griggs County,North Dakota,3020,"2,362"
Hettinger County,North Dakota,3005,"2,553"
Kidder County,North Dakota,3012,"2,426"
LaMoure County,North Dakota,2893,"4,114"
Logan County,North Dakota,3064,"1,924"
McHenry County,North Dakota,2780,"5,789"
McIntosh County,North Dakota,2993,"2,751"
McKenzie County,North Dakota,2600,"7,987"
McLean County,North Dakota,2493,"9,309"
Mercer County,North Dakota,2565,"8,486"
Morton County,North Dakota,1490,"28,101"
Mountrail County,North Dakota,2541,"8,734"
Nelson County,North Dakota,2971,"3,080"
Oliver County,North Dakota,3069,"1,838"
Pembina County,North Dakota,2655,"7,271"
Pierce County,North Dakota,2871,"4,457"
Ramsey County,North Dakota,2325,"11,536"
Ransom County,North Dakota,2810,"5,444"
Renville County,North Dakota,3004,"2,559"
Richland County,North Dakota,2029,"16,217"
Rolette County,North Dakota,2144,"14,382"
Sargent County,North Dakota,2916,"3,896"
Sheridan County,North Dakota,3097,"1,266"
Sioux County,North Dakota,2879,"4,347"
Slope County,North Dakota,3124,758
Stark County,North Dakota,1537,"26,771"
Steele County,North Dakota,3055,"1,989"
Stutsman County,North Dakota,1781,"20,934"
Towner County,North Dakota,3026,"2,318"
Traill County,North Dakota,2597,"8,072"
Walsh County,North Dakota,2354,"11,046"
Ward County,North Dakota,815,"64,798"
Wells County,North Dakota,2884,"4,271"
Williams County,North Dakota,1539,"26,697"
Adams County,Ohio,1477,"28,350"
Allen County,Ohio,561,"1,05,141"
Ashland County,Ohio,940,"52,962"
Ashtabula County,Ohio,585,"1,00,389"
Athens County,Ohio,818,"64,304"
Auglaize County,Ohio,1051,"45,831"
Belmont County,Ohio,763,"69,671"
Brown County,Ohio,1077,"44,381"
Butler County,Ohio,178,"3,70,589"
Carroll County,Ohio,1463,"28,587"
Champaign County,Ohio,1180,"39,565"
Clark County,Ohio,454,"1,37,206"
Clermont County,Ohio,319,"1,99,085"
Clinton County,Ohio,1132,"41,886"
Columbiana County,Ohio,560,"1,06,507"
Coshocton County,Ohio,1253,"36,779"
Crawford County,Ohio,1116,"42,849"
Cuyahoga County,Ohio,30,"12,65,111"
Darke County,Ohio,946,"52,507"
Defiance County,Ohio,1205,"38,677"
Delaware County,Ohio,348,"1,81,061"
Erie County,Ohio,717,"76,398"
Fairfield County,Ohio,425,"1,47,474"
Fayette County,Ohio,1455,"28,880"
Franklin County,Ohio,34,"11,95,537"
Fulton County,Ohio,1122,"42,513"
Gallia County,Ohio,1416,"30,708"
Geauga County,Ohio,618,"93,680"
Greene County,Ohio,382,"1,63,587"
Guernsey County,Ohio,1175,"39,817"
Hamilton County,Ohio,74,"8,02,038"
Hancock County,Ohio,722,"75,671"
Hardin County,Ohio,1398,"31,627"
Harrison County,Ohio,2062,"15,714"
Henry County,Ohio,1491,"28,045"
Highland County,Ohio,1111,"42,998"
Hocking County,Ohio,1440,"29,273"
Holmes County,Ohio,1110,"43,025"
Huron County,Ohio,872,"59,280"
Jackson County,Ohio,1356,"32,954"
Jefferson County,Ohio,777,"68,389"
Knox County,Ohio,852,"60,705"
Lake County,Ohio,280,"2,29,582"
Lawrence County,Ohio,839,"62,109"
Licking County,Ohio,374,"1,67,537"
Logan County,Ohio,1058,"45,474"
Lorain County,Ohio,216,"3,01,478"
Lucas County,Ohio,154,"4,37,998"
Madison County,Ohio,1108,"43,053"
Mahoning County,Ohio,275,"2,35,145"
Marion County,Ohio,793,"66,238"
Medina County,Ohio,359,"1,73,684"
Meigs County,Ohio,1659,"23,593"
Mercer County,Ohio,1156,"40,875"
Miami County,Ohio,568,"1,03,060"
Monroe County,Ohio,2138,"14,549"
Montgomery County,Ohio,121,"5,34,325"
Morgan County,Ohio,2115,"14,911"
Morrow County,Ohio,1301,"34,938"
Muskingum County,Ohio,656,"85,950"
Noble County,Ohio,2134,"14,579"
Ottawa County,Ohio,1144,"41,339"
Paulding County,Ohio,1863,"19,295"
Perry County,Ohio,1276,"36,015"
Pickaway County,Ohio,900,"56,399"
Pike County,Ohio,1469,"28,480"
Portage County,Ohio,389,"1,61,451"
Preble County,Ohio,1132,"41,886"
Putnam County,Ohio,1322,"34,198"
Richland County,Ohio,497,"1,22,673"
Ross County,Ohio,705,"77,429"
Sandusky County,Ohio,855,"60,510"
Scioto County,Ohio,701,"78,477"
Seneca County,Ohio,902,"56,018"
Shelby County,Ohio,996,"49,167"
Stark County,Ohio,176,"3,74,868"
Summit County,Ohio,119,"5,40,811"
Trumbull County,Ohio,304,"2,07,406"
Tuscarawas County,Ohio,627,"92,392"
Union County,Ohio,944,"52,715"
Van Wert County,Ohio,1458,"28,744"
Vinton County,Ohio,2227,"13,239"
Warren County,Ohio,289,"2,17,241"
Washington County,Ohio,845,"61,475"
Wayne County,Ohio,526,"1,14,848"
Williams County,Ohio,1232,"37,513"
Wood County,Ohio,482,"1,28,200"
Wyandot County,Ohio,1704,"22,607"
Adair County,Oklahoma,1720,"22,286"
Alfalfa County,Oklahoma,2792,"5,666"
Atoka County,Oklahoma,2179,"14,007"
Beaver County,Oklahoma,2798,"5,591"
Beckham County,Oklahoma,1685,"23,081"
Blaine County,Oklahoma,2455,"9,785"
Bryan County,Oklahoma,1101,"43,399"
Caddo County,Oklahoma,1433,"29,678"
Canadian County,Oklahoma,499,"1,22,560"
Carter County,Oklahoma,1010,"48,085"
Cherokee County,Oklahoma,1009,"48,150"
Choctaw County,Oklahoma,2094,"15,182"
Cimarron County,Oklahoma,3016,"2,385"
Cleveland County,Oklahoma,252,"2,65,638"
Coal County,Oklahoma,2763,"5,963"
Comanche County,Oklahoma,487,"1,26,390"
Cotton County,Oklahoma,2748,"6,155"
Craig County,Oklahoma,2126,"14,748"
Creek County,Oklahoma,756,"70,651"
Custer County,Oklahoma,1467,"28,536"
Delaware County,Oklahoma,1141,"41,441"
Dewey County,Oklahoma,2853,"4,783"
Ellis County,Oklahoma,2894,"4,104"
Garfield County,Oklahoma,848,"61,189"
Garvin County,Oklahoma,1521,"27,297"
Grady County,Oklahoma,937,"53,118"
Grant County,Oklahoma,2868,"4,516"
Greer County,Oklahoma,2753,"6,082"
Harmon County,Oklahoma,2985,"2,906"
Harper County,Oklahoma,2931,"3,676"
Haskell County,Oklahoma,2246,"12,938"
Hughes County,Oklahoma,2184,"13,836"
Jackson County,Oklahoma,1551,"26,237"
Jefferson County,Oklahoma,2733,"6,377"
Johnston County,Oklahoma,2358,"11,003"
Kay County,Oklahoma,1051,"45,831"
Kingfisher County,Oklahoma,2106,"15,005"
Kiowa County,Oklahoma,2492,"9,310"
Latimer County,Oklahoma,2355,"11,019"
Le Flore County,Oklahoma,981,"49,873"
Lincoln County,Oklahoma,1323,"34,189"
Logan County,Oklahoma,1093,"43,666"
Love County,Oklahoma,2467,"9,558"
McClain County,Oklahoma,1285,"35,613"
McCurtain County,Oklahoma,1348,"33,203"
McIntosh County,Oklahoma,1806,"20,584"
Major County,Oklahoma,2629,"7,683"
Marshall County,Oklahoma,2050,"15,957"
Mayes County,Oklahoma,1148,"41,168"
Murray County,Oklahoma,2201,"13,663"
Muskogee County,Oklahoma,758,"70,596"
Noble County,Oklahoma,2326,"11,522"
Nowata County,Oklahoma,2389,"10,611"
Okfuskee County,Oklahoma,2282,"12,358"
Oklahoma County,Oklahoma,81,"7,41,781"
Okmulgee County,Oklahoma,1179,"39,625"
Osage County,Oklahoma,1015,"47,917"
Ottawa County,Oklahoma,1384,"32,236"
Pawnee County,Oklahoma,2014,"16,474"
Payne County,Oklahoma,702,"78,399"
Pittsburg County,Oklahoma,1067,"45,048"
Pontotoc County,Oklahoma,1224,"37,958"
Pottawatomie County,Oklahoma,755,"70,760"
Pushmataha County,Oklahoma,2345,"11,205"
Roger Mills County,Oklahoma,2924,"3,774"
Rogers County,Oklahoma,645,"88,367"
Seminole County,Oklahoma,1589,"25,450"
Sequoyah County,Oklahoma,1143,"41,398"
Stephens County,Oklahoma,1071,"44,779"
Texas County,Oklahoma,1753,"21,498"
Tillman County,Oklahoma,2613,"7,822"
Tulsa County,Oklahoma,107,"6,13,816"
Wagoner County,Oklahoma,729,"75,030"
Washington County,Oklahoma,960,"51,633"
Washita County,Oklahoma,2322,"11,622"
Woods County,Oklahoma,2530,"8,832"
Woodward County,Oklahoma,1810,"20,548"
Baker County,Oregon,2052,"15,909"
Benton County,Oregon,655,"86,430"
Clackamas County,Oregon,175,"3,83,857"
Clatsop County,Oregon,1239,"37,301"
Columbia County,Oregon,995,"49,286"
Coos County,Oregon,835,"62,534"
Crook County,Oregon,1795,"20,729"
Curry County,Oregon,1721,"22,248"
Deschutes County,Oregon,387,"1,62,277"
Douglas County,Oregon,553,"1,07,164"
Gilliam County,Oregon,3059,"1,953"
Grant County,Oregon,2654,"7,317"
Harney County,Oregon,2659,"7,212"
Hood River County,Oregon,1708,"22,584"
Jackson County,Oregon,305,"2,06,412"
Jefferson County,Oregon,1740,"21,749"
Josephine County,Oregon,672,"82,930"
Klamath County,Oregon,801,"65,912"
Lake County,Oregon,2621,"7,771"
Lane County,Oregon,188,"3,54,542"
Lincoln County,Oregon,1045,"46,151"
Linn County,Oregon,513,"1,18,360"
Malheur County,Oregon,1417,"30,630"
Marion County,Oregon,204,"3,19,985"
Morrow County,Oregon,2341,"11,244"
Multnomah County,Oregon,76,"7,59,256"
Polk County,Oregon,719,"76,353"
Sherman County,Oregon,3073,"1,732"
Tillamook County,Oregon,1599,"25,287"
Umatilla County,Oregon,713,"76,820"
Union County,Oregon,1576,"25,759"
Wallowa County,Oregon,2697,"6,821"
Wasco County,Oregon,1586,"25,487"
Washington County,Oregon,114,"5,47,672"
Wheeler County,Oregon,3088,"1,424"
Yamhill County,Oregon,589,"1,00,255"
Adams County,Pennsylvania,578,"1,01,482"
Allegheny County,Pennsylvania,31,"12,29,338"
Armstrong County,Pennsylvania,775,"68,409"
Beaver County,Pennsylvania,364,"1,70,245"
Bedford County,Pennsylvania,994,"49,324"
Berks County,Pennsylvania,166,"4,13,491"
Blair County,Pennsylvania,485,"1,27,121"
Bradford County,Pennsylvania,831,"62,792"
Bucks County,Pennsylvania,103,"6,27,053"
Butler County,Pennsylvania,341,"1,84,970"
Cambria County,Pennsylvania,444,"1,41,584"
Cameron County,Pennsylvania,2841,"4,939"
Carbon County,Pennsylvania,811,"65,006"
Centre County,Pennsylvania,406,"1,55,171"
Chester County,Pennsylvania,128,"5,06,575"
Clarion County,Pennsylvania,1178,"39,646"
Clearfield County,Pennsylvania,681,"81,184"
Clinton County,Pennsylvania,1182,"39,517"
Columbia County,Pennsylvania,789,"66,887"
Crawford County,Pennsylvania,649,"87,598"
Cumberland County,Pennsylvania,273,"2,38,614"
Dauphin County,Pennsylvania,245,"2,69,665"
Delaware County,Pennsylvania,110,"5,61,098"
Elk County,Pennsylvania,1401,"31,550"
Erie County,Pennsylvania,236,"2,80,646"
Fayette County,Pennsylvania,459,"1,35,660"
Forest County,Pennsylvania,2630,"7,667"
Franklin County,Pennsylvania,418,"1,51,275"
Fulton County,Pennsylvania,2124,"14,772"
Greene County,Pennsylvania,1217,"38,085"
Huntingdon County,Pennsylvania,1049,"45,943"
Indiana County,Pennsylvania,646,"88,218"
Jefferson County,Pennsylvania,1072,"44,764"
Juniata County,Pennsylvania,1612,"24,904"
Lackawanna County,Pennsylvania,294,"2,14,477"
Lancaster County,Pennsylvania,123,"5,26,823"
Lawrence County,Pennsylvania,636,"89,871"
Lebanon County,Pennsylvania,462,"1,35,251"
Lehigh County,Pennsylvania,187,"3,55,245"
Luzerne County,Pennsylvania,203,"3,21,027"
Lycoming County,Pennsylvania,519,"1,17,168"
McKean County,Pennsylvania,1105,"43,127"
Mercer County,Pennsylvania,522,"1,15,655"
